time,mean_centered,standardized
0.137,49.56432482,1.797527172
0.268,44.06432482,1.598061135
0.279,47.06432482,1.706860792
0.395,48.26432482,1.750380655
0.404,51.06432482,1.851927001
0.485,46.86432482,1.699607482
0.559,50.26432482,1.822913759
0.672,51.36432482,1.862806966
0.754,49.26432482,1.786647207
0.877,47.56432482,1.724994068
0.95,45.76432482,1.659714274
1.06,48.26432482,1.750380655
1.153,46.86432482,1.699607482
1.233,47.86432482,1.735874034
1.35,46.56432482,1.688727516
1.453,48.36432482,1.75400731
1.552,49.16432482,1.783020552
1.638,48.06432482,1.743127344
1.733,47.86432482,1.735874034
1.812,47.16432482,1.710487447
1.931,46.06432482,1.67059424
2.057,45.86432482,1.663340929
2.128,45.86432482,1.663340929
2.212,46.76432482,1.695980826
2.334,47.06432482,1.706860792
2.433,43.06432482,1.561794583
2.536,48.06432482,1.743127344
2.604,44.46432482,1.612567756
2.728,43.86432482,1.590807825
2.806,45.46432482,1.648834309
2.902,43.76432482,1.58718117
3.053,45.46432482,1.648834309
3.116,42.26432482,1.532781342
3.215,43.16432482,1.565421238
3.336,44.16432482,1.601687791
3.453,42.56432482,1.543661307
3.523,42.16432482,1.529154686
3.622,40.66432482,1.474754858
3.721,44.56432482,1.616194412
3.79,44.06432482,1.598061135
3.91,40.86432482,1.482008168
4.004,40.76432482,1.478381513
4.096,41.96432482,1.521901376
4.161,40.66432482,1.474754858
4.324,40.26432482,1.460248237
4.374,38.26432482,1.387715133
4.48,38.96432482,1.413101719
4.573,40.66432482,1.474754858
4.703,39.86432482,1.445741616
4.766,38.46432482,1.394968443
4.874,37.76432482,1.369581857
5.004,38.96432482,1.413101719
5.094,36.76432482,1.333315305
5.16,34.46432482,1.249902234
5.274,34.36432482,1.246275579
5.37,36.76432482,1.333315305
5.476,35.06432482,1.271662166
5.562,34.66432482,1.257155545
5.657,29.86432482,1.083076094
5.716,35.86432482,1.300675408
5.855,34.66432482,1.257155545
5.998,32.36432482,1.173742475
6.039,31.86432482,1.155609199
6.131,30.36432482,1.101209371
6.263,30.26432482,1.097582715
6.354,28.56432482,1.035929577
6.434,31.26432482,1.133849268
6.545,32.06432482,1.162862509
6.617,27.26432482,0.988783059
6.713,26.76432482,0.970649783
6.838,31.46432482,1.141102578
6.941,32.16432482,1.166489164
7.028,29.86432482,1.083076094
7.112,27.56432482,0.999663024
7.234,29.26432482,1.061316163
7.32,29.56432482,1.072196129
7.413,28.86432482,1.046809542
7.507,28.36432482,1.028676266
7.59,29.96432482,1.08670275
7.691,28.76432482,1.043182887
7.781,28.46432482,1.032302921
7.876,27.46432482,0.996036369
7.99,30.46432482,1.104836026
8.05,29.86432482,1.083076094
