time,mean_centered,standardized
101.7452,-0.415113861,-1.083255299
102.0217,-0.527913861,-1.37761116
102.2834,-0.402613861,-1.050636077
102.5235,-0.419813861,-1.095520127
102.7362,-0.511013861,-1.333509972
102.9648,-0.384013861,-1.002098675
103.2464,-0.307113861,-0.80142522
103.831,-0.373513861,-0.974698528
104.1016,-0.427813861,-1.116396429
104.4169,-0.553213861,-1.443632466
104.7912,-0.536013861,-1.398748416
105.2162,-0.531313861,-1.386483588
105.5661,-0.377313861,-0.984614771
105.8583,-0.467413861,-1.219734125
106.1493,-0.413413861,-1.078819085
106.4527,-0.313013861,-0.816821493
107.0962,-0.327813861,-0.855442652
107.4556,-0.045113861,-0.117726323
107.8043,-0.012513861,-0.032655392
108.2452,0.14228613933236567,0.37130105506356276
108.4085,0.12008613933236567,0.3133693165183446
108.6518,0.21778613933236568,0.5683211568727508
108.9926,0.11818613933236566,0.308411195
109.3713,0.11998613933236568,0.3131083627411139
110.4896,0.16648613933236567,0.43445186915339523
110.5611,0.11798613933236568,0.30788928719649966
110.8314,0.1700861393323656,0.4438462051337007
110.9088,0.12148613933236563,0.31702266939957446
111.1078,0.18458613933236567,0.4816845028321542
111.2474,0.1763861393323657,0.4602862930992358
111.3876,0.22818613933236565,0.5954603497047448
111.5893,0.2246861393323657,0.586326968
111.7282,0.2325861393323656,0.606942316
111.9279,0.18478613933236565,0.48220641038661555
111.9912,0.25348613933236563,0.6614816553441151
112.2674,0.16278613933236563,0.42479657939585874
112.336,0.2690861393323657,0.7021904445921063
112.6339,0.23728613933236564,0.6192071434327396
112.6988,0.2841861393323657,0.741594465
112.975,0.27838613933236567,0.7264591458745625
113.0356,0.34188613933236567,0.892164794
113.532,0.2898861393323656,0.7564688302560943
113.5866,0.27358613933236564,0.7139333645674882
113.8335,0.24938613933236564,0.6507825504776559
113.9536,0.2910861393323657,0.7596002755828631
114.1355,0.24628613933236565,0.6426929833835038
114.2599,0.26738613933236566,0.6977542303791842
114.4736,0.20678613933236567,0.5396162413773724
114.6145,0.25018613933236566,0.6528701806955016
114.8186,0.1984861393323657,0.5179570778672233
115.0184,0.2154861393323657,0.5623192199964445
115.1482,0.22838613933236562,0.5959822572592062
115.3823,0.2681861393323657,0.6998418605970299
115.439,0.19388613933236565,0.5059532041146104
115.6815,0.23328613933236564,0.6087689923435111
115.9306,0.2032861393323656,0.5304828591742973
115.9803,0.19768613933236567,0.5158694476493776
116.4893,0.11758613933236561,0.3068454720875766
116.6944,0.14838613933236566,0.3872192354746362
116.7446,0.15738613933236567,0.41070507542540036
116.9831,0.15598613933236571,0.4070517225441705
116.9848,0.1137861393323657,0.2969292285528098
117.221,0.14068613933236562,0.36712579462787126
117.3139,0.072286139,0.188633411
117.4704,0.037886139332365676,0.098865312
117.7452,0.1157861393323657,0.30214830409742405
118.0121,0.040086139332365656,0.10460629473377452
118.0142,-0.007813861,-0.020390565
118.2829,-0.019513861,-0.050922156
118.4836,-0.059113861,-0.154259852
118.5928,0.003686139,0.00961912
118.8627,0.005486139,0.014316287811947923
119.1175,-0.110913861,-0.289433909
119.1699,-0.108713861,-0.283692926
119.55,-0.114313861,-0.298306337
119.6666,-0.192913861,-0.503416006
119.922,-0.111513861,-0.290999632
119.9236,-0.181313861,-0.473145368
120.1342,-0.225013861,-0.587182169
120.2455,-0.307413861,-0.802208081
120.3185,-0.291913861,-0.761760246
120.4577,-0.338613861,-0.88362566
120.495,-0.362813861,-0.946776474
120.6742,-0.425913861,-1.111438307
120.8638,-0.474013861,-1.236957074
120.967,-0.468613861,-1.22286557
121.0495,-0.520213861,-1.357517719
121.2864,-0.440813861,-1.15032042
121.2881,-0.450813861,-1.176415798
121.5201,-0.573813861,-1.497388944
121.6055,-0.512613861,-1.337685232
121.7281,-0.581913861,-1.5185262
121.8689,-0.463013861,-1.208252159
121.9026,-0.652313861,-1.702237659
122.0615,-0.643013861,-1.677968958
122.0932,-0.591713861,-1.54409967
122.2333,-0.664813861,-1.734856881
122.4305,-0.665313861,-1.73616165
122.6184,-0.573613861,-1.496867036
122.6196,-0.640113861,-1.670401298
122.8003,-0.701013861,-1.829322148
122.858,-0.621613861,-1.622124849
122.9618,-0.725013861,-1.891951055
123.1488,-0.695313861,-1.814447783
123.1502,-0.715513861,-1.867160446
123.3393,-0.784613861,-2.047479506
123.4157,-0.714913861,-1.865594723
123.5496,-0.749613861,-1.956145684
123.737,-0.662613861,-1.729115898
123.7872,-0.799213861,-2.085578758
124.022,-0.694313861,-1.811838245
124.0662,-0.637613861,-1.663877454
124.2261,-0.779013861,-2.032866095
124.3952,-0.752613861,-1.963974297
124.5633,-0.785913861,-2.050871905
124.5646,-0.754013861,-1.96762765
124.7569,-0.803513861,-2.09679977
124.8134,-0.863113861,-2.252328221
124.9277,-0.789913861,-2.061310056
125.0659,-0.761313861,-1.986677276
125.098,-0.778813861,-2.032344187
125.2656,-0.672213861,-1.75416746
125.2669,-0.768513861,-2.005465948
125.4584,-0.709113861,-1.850459404
125.5771,-0.684013861,-1.784960006
125.6583,-0.757413861,-1.976500079
125.8773,-0.652513861,-1.702759566
126.0228,-0.758213861,-1.978587709
126.1404,-0.507113861,-1.323332774
126.2255,-0.677013861,-1.766693242
126.4636,-0.614113861,-1.602553316
126.5123,-0.555113861,-1.448590587
126.6986,-0.582813861,-1.520874784
126.8555,-0.477113861,-1.245046641
127.0914,-0.448613861,-1.170674815
127.1843,-0.483413861,-1.261486729
127.3308,-0.382713861,-0.998706275
127.5572,-0.364413861,-0.950951734
127.7506,-0.283013861,-0.738535359
127.9304,-0.231913861,-0.605187979
128.1233,-0.201913861,-0.526901846
128.1596,-0.163713861,-0.427217503
128.3149,-0.051813861,-0.135210227
128.4853,0.019886139,0.051893632
128.4864,-0.011213861,-0.029262993
128.657,0.051686139332365655,0.13487693289253716
128.7163,0.10008613933236565,0.26117856107220205
128.7816,0.094986139,0.24786991843343573
128.9434,0.28478613933236563,0.743160188
128.9445,0.18268613933236566,0.4767263810647706
129.0996,0.2618861393323657,0.6834017726314952
129.1908,0.41978613933236564,1.095447787
129.2543,0.32598613933236564,0.8506731438363817
129.4109,0.46008613933236564,1.2006121591027672
129.5721,0.49008613933236567,1.278898292271981
129.6354,0.5309861393323657,1.3856283871593427
129.7322,0.5035861393323656,1.3141270521981272
129.8597,0.5749861393323656,1.5004480491408558
129.8938,0.5514861393323657,1.4391239114916385
130.0669,0.6113861393323656,1.5954352240528353
130.1004,0.6333861393323656,1.652845055043592
130.25,0.5724861393323657,1.4939242047100882
130.3085,0.6019861393323656,1.5709055689931481
130.4161,0.6306861393323657,1.645799303058363
130.4817,0.5513861393323657,1.4388629577144079
130.5805,0.6063861393323657,1.582387535
130.7299,0.5927861393323657,1.5468978214879228
130.8179,0.6591861393323657,1.720171129569116
130.8866,0.6727861393323658,1.7556608432724932
130.9982,0.7343861393323656,1.9164083700466117
131.087,0.7676861393323657,2.0033059778644393
131.2245,0.6797861393323656,1.7739276076786428
131.3229,0.7397861393323657,1.9304998740170705
131.4623,0.7913861393323656,2.0651520230681175
131.5495,0.6786861393323658,1.771057116129105
131.7056,0.6975861393323657,1.8203773800257097
131.7473,0.7351861393323658,1.9184960002644578
131.8299,0.7018861393323657,1.8315983924466301
132.0637,0.7128861393323656,1.8603033079420084
132.2577,0.6664861393323656,1.7392207553069576
132.3553,0.7088861393323656,1.8498651568527797
132.5311,0.6481861393323656,1.6914662140737373
132.7452,0.7112861393323657,1.8561280475063173
132.7977,0.7175861393323657,1.8725681354718522
132.9008,0.7882861393323657,2.057062455973966
133.0713,0.6579861393323656,1.7170396842423472
133.1299,0.6935861393323657,1.809939228936481
133.3418,0.6719861393323656,1.753573213054647
133.5706,0.6863861393323656,1.7911505569758697
133.7903,0.7296861393323657,1.9041435425167683
133.8014,0.6119861393323656,1.5970009467162194
134.0058,0.6808861393323657,1.7767980992281809
134.1547,0.6600861393323656,1.722519713564192
134.2288,0.6875861393323657,1.7942820023026385
134.5588,0.5859861393323657,1.5291529646362343
134.9706,0.6302861393323658,1.6447554879494404
